Data,Kraj,Firma,Opis,Link,WARTO_ANALIZY
2025-06-11 06:53,Finland,New data center firm Arcem targets projects across Finland,"<p>Company backed by Daymo, Fortigo Properties, and Bonum</p>",https://www.datacenterdynamics.com/en/news/new-data-center-firm-arcem-targets-projects-across-finland/,TAK
2025-06-17 18:52,Finland,"200,000 sqm data center campus planned in Keuruu, Finland",<p>Another project planned in Finland</p>,https://www.datacenterdynamics.com/en/news/200000-sqm-data-center-campus-planned-in-keuruu-finland/,TAK
2025-07-03 18:52,Ireland,AWS says planned Dublin data centers will have no 'significa,<p>Appeal against planning permission for facilities still ongoing</p>,https://www.datacenterdynamics.com/en/news/aws-says-planned-dublin-data-centers-will-have-no-significant-impact-on-climate/,TAK
2025-07-14 06:28,Germany,Yondr completes 40MW Frankfurt data center in Germany,<p>Company launches second 20MW phase of Bischofsheim development</p>,https://www.datacenterdynamics.com/en/news/yondr-completes-40mw-frankfurt-data-center-in-germany/,TAK
2025-07-16 18:26,Germany,"Google pulls plug on planned data center in Berlin, Germany","<p>After a ""thorough review of feasibility, general market developments, and our business priorities,"" said spokesperson</p>",https://www.datacenterdynamics.com/en/news/google-pulls-plug-on-planned-data-center-in-berlin-germany/,TAK
2025-07-28 18:28,Germany,Germany’s Max Planck Society eyes new data center in Munich,<p>Research group gets green light for new development as part of wider campus renovation</p>,https://www.datacenterdynamics.com/en/news/germanys-max-planck-society-eyes-new-data-center-in-munich/,TAK
2025-08-07 18:28,Ireland,Ireland's National Trust appeals against data center project,"<p>Files objection to An Bord Pleanála, citing various complaints</p>",https://www.datacenterdynamics.com/en/news/irelands-national-trust-appeals-against-data-center-project-in-county-louth-ireland/,TAK
2025-08-20 18:24,Germany,Billion dollar data center project proposed in Saxony-Anhalt,"<p>Company behind project founded earlier this month, few details available</p>",https://www.datacenterdynamics.com/en/news/billion-dollar-data-center-project-proposed-in-saxony-anhalt-germany/,TAK
2025-09-01 18:22,Finland,Battery storage developer AmpTank plans 100MW data center ou,"<p>Company announces first data center project, two more reportedly planned</p>",https://www.datacenterdynamics.com/en/news/battery-storage-developer-amptank-plans-100mw-data-center-outside-oulu-finland/,TAK
2025-09-11 18:19,Finland,Helen seeking data center partners to connect to Helsinki di,"<p>Has already partnered with Equinix, Telia, and Elisa on similar projects</p>",https://www.datacenterdynamics.com/en/news/helen-seeking-data-center-partners-to-connect-to-helsinki-district-heating-system/,TAK
2025-09-17 18:23,Germany,"Data4 breaks ground on data center project in Hanau, Germany","<p>Will eventually offer 180MW, company says</p>",https://www.datacenterdynamics.com/en/news/data4-breaks-ground-on-data-center-project-in-hanau-germany/,TAK
2025-10-30 18:24,Ireland,Echelon Data Centres seeks planning permission for data cent,<p>Developer looking to expand its Irish portfolio</p>,https://www.datacenterdynamics.com/en/news/echelon-data-centres-seeks-planning-permission-for-data-center-in-kilmeaden-ireland/,TAK
2025-11-03 18:24,Germany,Germany's Leibniz Supercomputing Centre to expand data cente,<p>Planning to invest €500m in expansion</p>,https://www.datacenterdynamics.com/en/news/germanys-leibniz-supercomputing-centre-to-expand-data-center-capacity/,TAK
2025-11-04 18:25,Germany,Nvidia and Deutsche Telecom officially announce data center ,"<p>Up to 10,000 Blackwell GPUs to be provided</p>",https://www.datacenterdynamics.com/en/news/nvidia-and-deutsche-telecom-officially-announce-data-center-project-in-munich-germany/,TAK
2025-11-10 06:28,Finland,"120MW data center campus proposed in Hämeenlinna, Finland",<p>Latvian Baltic General Power Company behind project</p>,https://www.datacenterdynamics.com/en/news/120mw-data-center-campus-proposed-in-h%C3%A4meenlinna-finland/,TAK
2025-11-11 18:24,Norway,"Data center startup Fossefall launches in Norway, targets 50",<p>Secures investment from US AI company Seekr</p>,https://www.datacenterdynamics.com/en/news/data-center-startup-fossefall-launches-in-norway-targets-500mw-of-ai-capacity/,TAK
2025-11-25 18:27,Finland,"Pure granted planning permission for Madrid data center, Spa",<p>Company also expanding into Finland</p>,https://www.datacenterdynamics.com/en/news/pure-granted-planning-permission-for-madrid-data-center-spain/,TAK
